Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
Overdrive,Electric,SPECIAL,SPECIAL,3,,COOL,PERFORM,Multiple Targets,Sound Based.
Overheat,Fire,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease the User’s Special by 2. The User removes 1 Success from the Accuracy Roll.
Pain Split,Normal,SUPPORT,,0,,WILL,CHANNEL,Single Target,"The User gives its Pain Penalties to the Target. The User removes any Pain Penalties on itself. The Target can not ignore the new Pain Penalties with Will, but the Target can ignore its own Pain Penalties. Pain Split can not be Evaded and ignores the User's Accuracy decreases."
Parabolic Charge,Electric,SPECIAL,SPECIAL,2,,ENDURANCE,CHANNEL,Area,"The User restores HP equal to half the damage dealt to all Targets, rounded down."
Parting Shot,Dark,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,User Switcher Move. Decrease the Target’s Strength and Special by 1.
Pay Day,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,"Ranged. The User receives Pokedollars equal to the User's Rank: Starter - 10p, Beginner - 25p, Amateur - 50p, Ace - 75p, Pro - 100p, Elite - 125p, Master - 150p."
Payback,Dark,PHYSICAL,STRENGTH,2,,ENDURANCE,BRAWL,Single Target,Add 2 extra dice to the Damage Pool if the Target has already damaged the User this Turn.
Peck,Flying,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,-
Perish Song,Normal,SUPPORT,,0,,BEAUTY,PERFORM,Area,"Sound Based. The User, Allies, and Foes are effected by Perish Song. Add a Perish Song counter to the Target at the end of Turn. If a Target obtains 3 counters, the Target faints. This effect is removed if the Target leaves the Battlefield."
Petal Blizzard,Grass,PHYSICAL,STRENGTH,3,,STRENGTH,NATURE,Area,-
Petal Dance,Grass,SPECIAL,SPECIAL,5,,SPECIAL,PERFORM,Random Foe,Rampage. Petal Dance targets a random Foe.
Phantom Force,Ghost,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Phantom Force. Phantom Force ignores the effects of Shield Moves. 
Photon Geyser (Physical),Psychic,PHYSICAL,STRENGTH,4,,DEXTERITY,CHANNEL,Single Target,"Photon Geyser can use either Strength or Special as both Accuracy and Damage. If Photon Geyser is Strength based, Photon Geyser makes contact and is Physical. If Photon Geyser is Special based, Photon Geyser is ranged and is Special. Photon Geyser ignores the effects of the Target's Ability."
Photon Geyser (Special),Psychic,SPECIAL,SPECIAL,4,,DEXTERITY,CHANNEL,Single Target,"Photon Geyser can use either Strength or Special as both Accuracy and Damage. If Photon Geyser is Strength based, Photon Geyser makes contact and is Physical. If Photon Geyser is Special based, Photon Geyser is ranged and is Special. Photon Geyser ignores the effects of the Target's Ability."
Pin Missile,Bug,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Ranged. Successive Actions.
Plasma Fists,Electric,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,"Fist Based. For as long as the User stays on the Battlefield, All Normal-Type moves of the User will be considered Electric-Type. "
Play Nice,Normal,SUPPORT,,0,,CUTE,ALLURE,Single Target,Decrease the Target's Strength by 1. Play Nice can not be Evaded and ignores the User's Accuracy decreases.
Play Rough,Fairy,PHYSICAL,STRENGTH,3,,TOUGH,BRAWL,Single Target,On a Chance Dice roll of 10 decrease the Target's Strength. The User removes 1 Success from the Accuracy Roll.
Pluck,Flying,PHYSICAL,STRENGTH,2,,CLEVER,ALERT,Single Target,"If the Target is holding a Berry, the User consumes it and gains its effects."
Poison Fang,Poison,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 6 or higher Badly Poison the Target.
Poison Gas,Poison,SUPPORT,,0,,SPECIAL,CHANNEL,Multiple Targets,The Target is Poisoned. The User removes 1 Success from the Accuracy Roll.
Poison Jab,Poison,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Poison the Target.
Poison Powder,Poison,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,The Target is Poisoned. Grass-Type Pokemon are Immune to Poison Powder. The User removes 2 Successes from the Accuracy Roll. 
Poison Sting,Poison,PHYSICAL,STRENGTH,1,,DEXTERITY,CHANNEL,Single Target,Ranged. On a Chance Dice roll of 8 or higher Poison the Target.
Poison Tail,Poison,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,High Critical. On a Chance Dice roll of 10 Poison the Target.
Pollen Puff,Bug,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,"If Pollen Puff is used against an Ally, the Ally will restore 3 HP instead of taking damage."
Poltergeist,Ghost,PHYSICAL,STRENGTH,3,,CLEVER,STEALTH,Single Target,If the Target does not have a Held Item Poltergeist fails. The User removes 1 Success from the Accuracy Roll.
Population Bomb,Normal,PHYSICAL,STRENGTH,1,,COOL,ALLURE,Single Target,"Successive Action. Population Bomb uses half an Action to activate. If the move ends on a half Action, Turn the Action bar up. Population Bomb can be performed up to 10 Times in a single Turn, by spending 5 Actions. Accuracy -1."
Pounce,Bug,PHYSICAL,STRENGTH,2,,DEXTERITY,STEALTH,Single Target,Decrease the Target’s Dexterity by 1.
Pound,Normal,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,-
Powder,Bug,SUPPORT,,0,,SPIRIT,NATURE,Single Target,"Priority +1. When the Target performs a Fire-Type move, the Target rolls 3 Neutral damage dice hurting themselves instead. The Target's move fails to activate, and the Target's Action is still used. Grass-Type Pokemon are Immune to Powder."
Powder Snow,Ice,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,On a Chance Dice roll of 10 Frostbite the Target.
Power Gem,Rock,SPECIAL,SPECIAL,3,,COOL,CHANNEL,Single Target,-
Power Shift,Normal,SUPPORT,,,,CLEVER,NATURE,User,Swap the User’s Base Strength with the User's Base Defense. Swap the User’s Base Special with the User's Base Special Defense.
Power Split,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"The User's Base Strength and Base Special, and the Target's Base Strength and Base Special are combined then spilt equally between the User and the Target, Turned up. Power Split can not be Evaded and ignores the User's Accuracy decreases."
Power Swap,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,The User's Strength and Special increases and decreases are swapped with the Target's Strength and Special increases and decreases. Power Swap can not be Evaded and ignores the User's Accuracy decreases.
Power Trick,Psychic,SUPPORT,,0,,SPIRIT,NATURE,User,The User’s Base Strength is swapped with the User's Defense. The User’s Base Special is swapped with the User's Base Special Defense.
Power Trip,Dark,PHYSICAL,STRENGTH,1,,SPIRIT,BRAWL,Single Target,"Add 1 extra dice to the Damage Pool of Power Trip for every Stat increase the User has. Up to 10 dice may be added this way. (Ie. The User's Defense, Accuracy, and Strength were all increased by 1, add 3 extra dice to the Damage Pool)."
Power Whip,Grass,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,The User removes 1 Success from the Accuracy Roll.
Power-up Punch,Fighting,PHYSICAL,STRENGTH,2,,STRENGTH,ATHLETICS,Single Target,Fist Based. Increase the User's Strength by 1. 
Precipice Blades,Ground,PHYSICAL,STRENGTH,5,,STRENGTH,CHANNEL,Multiple Targets,Ranged. The User removes 2 Successes from the Accuracy Roll.
Present,Normal,SUPPORT,STRENGTH,3,,CUTE,ALLURE,Single Target,Ranged. On a Chance Dice roll of 9 or higher restore 2 HP to the Target instead of dealing damage. The User removes 1 Success from the Accuracy Roll.
Prismatic Laser,Psychic,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recharge.
Protect,Normal,SUPPORT,,0,,WILL,CHANNEL,User,"Priority +5. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. Negate the effects of Support moves that Target the User. Decrease to zero the set damage from a move the User would take. Protect stops all OHKO moves."
Psybeam,Psychic,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,On a Chance Dice roll of 10 Confuse the Target.
Psyblade,Psychic,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,"Add 2 extra dice to the Damage Pool, if the User is affected by Electric Terrain."
Psych Up,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,Single Target,"The User copies the Target's Stat increases. Remove any previous increases, and decreases on the User. Psych Up is unaffected by Shield Moves. Psych Up can not be Evaded and ignores the User's Accuracy decreases."
Psychic,Psychic,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 decrease the Target’s Special Defense by 1.
Psychic Fangs,Psychic,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"Remove the effects of Light Screen, Reflect, and Aurora Veil from the Target’s side of the Battlefield."
Psychic Terrain,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Battlefield,"Add 1 extra dice to the Damage Pool of all Physical and Special Psychic-Type moves. All Single Target moves with Positive Priority used by a Pokemon affected by Psychic Terrain will fail. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Balloon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by this Terrain. Lasts for 5 Turns."
Psycho Boost,Psychic,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease User’s Special by 2. The User removes 1 Success from the Accuracy Roll.
Psycho Cut,Psychic,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Psycho Shift,Psychic,SUPPORT,,0,,CLEVER,CHANNEL,Single Target,The User’s gives the Target any Status Conditions the User currently has. The User is cured from the Status Conditions.
Psyshield Bash,Psychic,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,Increase the User’s Defense by 1.
Psyshock,Psychic,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,Psyshcok is resisted with the Target’s Defense instead of the Target's Special Defense.
Psystrike,Psychic,SPECIAL,SPECIAL,4,,DEXTERITY,CHANNEL,Single Target,Psystrike is resisted with the Target’s Defense instead of the Target's Special Defense.
Psywave,Psychic,SPECIAL,,2,,SPIRIT,CHANNEL,Single Target,"The Target receives Psychic-Type damage equal the the User's Rank. 1 damage at Starter Rank. 2 damage at Beginner Rank. 3 damage at Amateur Rank. 4 damage at Ace Rank. 5 damage at Pro Rank. 6 damage at Elite. 7 damage at Master. Ignoring the Target’s Defense. Psywave can not be a Critical Hit, and is unaffected by STAB. Psywave is unaffected by Super Effective, and Resistance, Immunities still apply. Psywave can not be Clashed."
Punishment,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"Add 1 extra dice to the Damage Pool for every Stat increase the Target has. Up to 7 extra dice may be added this way. (Ie. The Target's Defense, Accuracy, and Strength were all increased by 1, add 3 extra dice to the Damage Pool)."
Purify,Poison,SUPPORT,,0,,SPECIAL,NATURE,Single Target,The Target restores 3 HP if the Target has a Status Condition. The Target is cured from a Status Condition.
Pursuit,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"If the Target is switching or attempting to run away. Add 2 extra dice to the Damage Pool, Priority +1, and Pursuit can not be Evaded and ignores the User's Accuracy decreases."
Pyro Ball,Fire,PHYSICAL,STRENGTH,5,,STRENGTH,ATHLETICS,Single Target,On a Chance Dice roll of 10 Burn the Target. The User removes 1 Success from the Accuracy Roll.
Quash,Dark,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,"For as long as the Target stays on the Battlefield, the Target will go last in the Initiative order."
Quick Attack,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Priority +1. 
Quick Guard,Fighting,SUPPORT,,0,,DEXTERITY,ALERT,User and Allies,Priority +3. Shield Move. Quick Guard will only protect against moves with Positive Priority. Decrease any damage the User and Allies would receive from a Physical or Special move to zero. Negate the effects of support moves that Target the User and Allies. Decrease to zero the set damage from a move the User would take. Quick Guard stops all OHKO moves.
Quiver Dance,Bug,SUPPORT,,0,,BEAUTY,PERFORM,User,"Increase the User's Dexterity, Special and Special Defense by 1."
Rage,Normal,PHYSICAL,STRENGTH,1,,ENDURANCE,INTIMIDATE,Single Target,"If the User receives damage from any source during this Turn, including damage from moves, Clashing, Status Effects, Confusion, and Weather, increase the User's Strength by 1."
Rage Fist,Ghost,PHYSICAL,STRENGTH,2,,TOUGH,ATHLETICS,Single Target,"Fist Based. Add 2 extra dice to the Damage Pool for every hit the User has taken. (Max 12 Dice). Hits from Clashing, Confusion, and Critical Fails count towards the total extra dice. Switching Pokemon does not reset the counter. "
Rage Powder,Bug,SUPPORT,,0,,TOUGH,INTIMIDATE,User,"Priority +2. During this Turn, all Physical and Special moves from any Foe must Target the User. Multiple Targets moves, and Area moves are unaffected. Grass-Type Pokemon are Immune to Rage Powder."
Raging Bull,Normal,PHYSICAL,STRENGTH,3,,TOUGH,INTIMIDATE,Single Target,"Remove the effects of Light Screen, Reflect, and Aurora Veil from the Target’s side of the Battlefield. Raging Bull's Type changes based on the breed of Tauros. Kantonian is Normal, Combat is Fighting, Blaze is Fire, and Aqua is Water. If another Pokemon performs Raging Bull, the typing remains Normal."
Raging Fury,Fire,PHYSICAL,STRENGTH,5,,STRENGTH,INTIMIDATE,Random Foe,Rampage. Raging Fury targets a random Foe.
Rain Dance,Water,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Begin the effects of Rain. Lasts for 5 Turns.
Rapid Spin,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"Remove all Entry Hazards (Spikes, Stealth Rock, etc.) and Leech seed from the User’s side of the Battlefield. Increase the User’s Dexterity by 1."
Razor Leaf,Grass,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Multiple Targets,Ranged. High Critical.
Razor Shell,Water,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 decrease the Target’s Defense by 1.
Razor Wind,Normal,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Multiple Targets,High Critical. Charge Move.
Recover,Normal,SUPPORT,,0,,SPIRIT,NATURE,User,The User restores 3 HP.
Recycle,Normal,SUPPORT,,0,,CLEVER,NATURE,User,"The User regains a Held Item, such as a Berry, that the User had previously consumed while the User was on the Battlefield."
Reflect,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Battlefield,"The User and Allies receive 2 less damage from Physical moves, and Physical based Clashes. This effect can not decrease the damage below 1. Lasts for 5 Turns. "
Reflect Type,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,Single Target,"The User is the same Type or Types as the Target. Reflect Type fails if the Target has no Type. This effect last for as long as the User is on the Battlefield, or Reflect Type is used again. Reflect Type can not be Evaded and ignores the User's Accuracy decreases."
Refresh,Normal,SUPPORT,,0,,WILL,CHANNEL,User,"The User is cured from Poison, Burn or Paralysis. "
Relic Song,Normal,SPECIAL,SPECIAL,3,,SPECIAL,PERFORM,Multiple Targets,"On a Chance Dice roll of 10 Sleep the Target. Relic Song changes the User's form to Aria Form if the User is in Pirouette Form, or the User's form to Pirouette Form if the User is in Aria Form. Aria Form and Pirouette Form share Aria Form's Max HP, Max Will, Base Stat increases, moves, Status Conditons, Status Ailments, Stat increases, Stat decreases, Skills and all other effects."
Rest,Psychic,SUPPORT,,0,,ENDURANCE,NATURE,User,The User restores 5 HP. The User is affected by Sleep for 2 Turns. The User is cured of all Status Conditions other than Asleep. Rest fails if the User can not be affect by Sleep. 
Retaliate,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,Add 3 extra dice to the Damage Pool if an Ally fainted during this or the last Turn. This effect can only be used once per Ally.
Return,Normal,PHYSICAL,STRENGTH,0,HAPPINESS,COOL,ALLURE,Single Target,Add 1 extra dice to the Damage Pool of Return for every point of Happiness on the User.
Revelation Dance,Normal,SPECIAL,SPECIAL,3,,DEXTERITY,PERFORM,Single Target,The damage Type of Revelation Dance always matches the User's primary Type.
Revenge,Fighting,PHYSICAL,STRENGTH,2,,ENDURANCE,ATHLETICS,Single Target,Priority -4. Add 3 Extra Dice to the Damage Pool if the User has already received damage this Turn.
Reversal,Fighting,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every 2 HP missing from the User's Max HP.  Up to 5 extra dice may be added this way.
Revival Blessing,Normal,SUPPORT,,,,SPIRIT,ETIQUETTE,One Ally,"Revive one fainted Ally to half of the Ally’s HP rounded down, the revived Ally does not gain any Will back. Revival Blessing fails if there are no fainted Allies. A Pokemon can only use Revival Blessing once per Battle."
Rising Voltage,Electric,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,"Add 3 extra dice to the Damage Pool, if the User is affected by Electric Terrain."
Roar,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,Sound Based. Priority -6. Target Switcher Move. 
Roar of Time,Dragon,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,The User removes 1 Success from the Accuracy Roll.
Rock Blast,Rock,PHYSICAL,STRENGTH,1,,DEXTERITY,CHANNEL,Single Target,Ranged. Succesive Actions. The User removes 1 Success from the Accuracy Roll.
Rock Climb,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,ATHLETICS,Single Target,On a Chance Dice roll of 9 or higher Confuse the Target. The User removes 1 Success from the Accuracy Roll.
Rock Polish,Rock,SUPPORT,,0,,DEXTERITY,CHANNEL,User,Increase the User’s Dexterity by 2.
Rock Slide,Rock,PHYSICAL,STRENGTH,3,,STRENGTH,CHANNEL,Multiple Targets,Ranged. On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Rock Smash,Fighting,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 6 or higher Decrease Target's Defense by 1.
Rock Throw,Rock,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,Ranged. The User removes 1 Success from the Accuracy Roll.
Rock Tomb,Rock,PHYSICAL,STRENGTH,2,,STRENGTH,CHANNEL,Single Target,Ranged. Decrease the Target's Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Rock Wrecker,Rock,PHYSICAL,STRENGTH,6,,STRENGTH,CHANNEL,Single Target,Ranged. Recharge. The User removes 1 Success from the Accuracy Roll.
Role Play,Psychic,SUPPORT,,0,,CLEVER,PERFORM,Single Target,The User changes its Ability to the Ability of the Target. Role Play can not be Evaded and ignores the User's Accuracy decreases.
Rolling Kick,Fighting,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Rollout,Rock,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,"Rollout can be used multiple times in the same Round. Add 2 extra dice to the Damage Pool for every consecutive time the User performs Rollout. Up to 4 dice may be added this way. Reset the effect if the User performs another move, Evades, Clashes with another move, or Rollout fails to hit. The User may Clash with Rollout, but the Damage Pool does not increase. If Defense Curl was used this Turn add an extra 1 damage dice to the Damage Pool. The User removes 1 Success from the Accuracy Roll. "
Roost,Flying,SUPPORT,,0,,SPIRIT,NATURE,User,"The User restores 3 HP. Until the User attempts to perform another move the User is no longer a Flying-Type, and becomes a Normal-Type."
Rototiller,Ground,SUPPORT,,0,,STRENGTH,NATURE,Battlefield,"Increase all Grass-Type Pokémon's Strength and Special by 1, including the Foes. Flying-Type Pokemon, Pokemon with the Ability Levitate, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by Rototiller."
Round,Normal,SPECIAL,SPECIAL,2,,SPECIAL,PERFORM,Single Target,"If an Ally Pokemon can perform Round this Turn, the Ally may perform their Action to perform Round after the User, ignoring the Inititiave order. Add 3 Extra Dice to the Damage Pool of the User, if the Ally used an Action to perform Round. "
Ruination,Dark,SPECIAL,,0,,SPECIAL,CHANNEL,Single Target,"The User deals damage equal to half of the Target's remaining HP, Turned up. If the remaining HP of the Target is 1, Ruination fails. Ignore the Target's Defenses. Ruination can not be a Critical Hit, and is unaffected by STAB. Ruination is not affected by Weakness, or Resistance, Immunities still apply. Ruination can not be Clashed. The User removes 1 Success from the Accuracy Roll."
Sacred Fire,Fire,PHYSICAL,STRENGTH,4,,SPIRIT,CHANNEL,Single Target,On a Chance Dice roll of 6 or higher Burn the Target. The User removes 1 Success from the Accuracy Roll.
Sacred Sword,Fighting,PHYSICAL,STRENGTH,3,,STRENGTH,ETIQUETTE,Single Target,Ignore any Increases to the Target's Defense and Evasion.
Safeguard,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,Battlefield,"The User and Allies are Immune to Status Conditions (Burn. Poison, Sleep, Frostbite, Paralysis), and Confusion (Self caused Confusion is not prevented). Previously inflicted Status Conditions remain. Lasts for 5 Turns. "
Salt Cure,Rock,PHYSICAL,STRENGTH,2,,CLEVER,CHANNEL,Single Target,"Range. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Steel-Type and Water-Type Pokemon take an additional 1 Neutral damage at the end of Turn. This effect does not stack with other similar moves.  Lasts for 5 Turns, unless the User swaps out. "
Sand Attack,Ground,SUPPORT,,0,,DEXTERITY,CHANNEL,Single Target,Decrease the Target's Accuracy by 1.
Sand Tomb,Ground,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,"Ranged. Block. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched. The User removes 1 Success from the Accuracy Roll."
Sandsear Storm,Ground,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Multiple Targets,On a Chance Dice roll of 9 or higher Burn the Target. The User removes 2 Successes from the Accuracy Roll.
Sandstorm,Rock,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Begin the effects of Sandstorm. Lasts for 5 Turns.
Scald,Water,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Burn the Target.
Scale Shot,Dragon,PHYSICAL,STRENGTH,1,,DEXTERITY,CHANNEL,Single Target,"Ranged. Successive Action. Decrease the User's Defense by 1, and increase the User's Dexterity by 1. The User removes 1 Success from the Accuracy Roll."
Scary Face,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,Decrease the Target’s Dexterity by 2.
Scorching Sands,Ground,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Multiple Targets,"If the Target has had a Stat increase this Turn, the Target is Burned."
Scratch,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,-
Screech,Normal,SUPPORT,,0,,TOUGH,PERFORM,Single Target,Sound Based. Decrease the Target's Defense by 2. The User removes 1 Success from the Accuracy Roll.
Searing Shot,Fire,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Multiple Targets,On a Chance Dice roll of 8 or higher Burn the Target.
Secret Power,Normal,PHYSICAL,STRENGTH,3,,SPIRIT,BRAWL,Single Target,The Target is affected differently depending on the Battlefield's enviroment. Refer to the Rulebook on Battlefield enviroments.
Secret Sword,Fighting,SPECIAL,SPECIAL,3,,SPECIAL,STEALTH,Single Target,Secret Sword is resisted with the Target’s Defense instead of the Target's Special Defense.
Seed Bomb,Grass,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Ranged.
Seed Flare,Grass,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 7 or higher Decrease the Target's Special Defense by 2. The User removes 1 Success from the Accuracy Roll.
Seismic Toss,Fighting,PHYSICAL,,,,STRENGTH,ATHLETICS,Single Target,"The Target receives Fighting-Type damage equal the the User's Rank. 1 damage at Starter Rank. 2 damage at Beginner Rank. 3 damage at Amateur Rank. 4 damage at Ace Rank. 5 damage at Pro Rank. 6 damage at Elite. 7 damage at Master. Ignoring the Target’s Defense. Seismic Toss can not be a Critical Hit, and is unaffected by STAB. Seismic Toss is unaffected by Super Effective, and Resistance, Immunities still apply. Seismic Toss can not be Clashed."
Self Destruct,Normal,PHYSICAL,STRENGTH,8,,STRENGTH,BRAWL,Area,Ranged. The User receives damage equal to its remaining HP. Ignore the User's Defences.
Shadow Ball,Ghost,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 9 or higher decrease Target's Special Defense by 1.
Shadow Bone,Ghost,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 9 or higher Decrease the Target’s Defense by 1.
Shadow Claw,Ghost,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Shadow Force,Ghost,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Shadow Force. Shadow Force ignores the effects of Shield Moves. Damage dealt by Shadow Force can not be restored as long as the Target stays on the Battlefield.
Shadow Punch,Ghost,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Fist Based. Shadow Punch can not be Evaded and ignores the User's Accuracy decreases. 
Shadow Sneak,Ghost,PHYSICAL,STRENGTH,2,,CLEVER,STEALTH,Single Target,Priority +1.
Sharpen,Normal,SUPPORT,,0,,DEXTERITY,BRAWL,User,Increase the User’s Strength by 1.
Shed Tail,Normal,SUPPORT,,,,CLEVER,NATURE,User,"The User receives 4 Neutral damage and places a Substitute with 2 HP on the Battlefield with the User's Defenses. The User switches with an Ally, and the Ally is protected by the Substitute. If the Substitute's HP is depleted, it disappears and the Ally can be targeted again. The Substitute can only be affected by Physical and Special moves, additonal effects do not affect the Substitute."
Sheer Cold,Ice,SPECIAL,,0,,SPECIAL,CHANNEL,Single Target,"The Target receives damage equal to the Target’s remaining HP, plus 2 damage. Ignoring the Target's Defences. Sheer Cold can not be a Critical Hit. Sheer Cold is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Sheer Cold can not be a Critical Hit. Sheer Cold is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Sheer Cold can not be Clashed. The User removes 7 Successes from the Accuracy Roll."
Shell Side Arm (Physical),Poison,PHYSICAL,STRENGTH,3,,STRENGTH,CHANNEL,Single Target,"On a Chance Dice roll of 9 or higher Poison the Target. Shell Side Arm can use either Strength or Special as both Accuracy and Damage. If Shell Side Arm is Strength based, Shell Side Arm makes contact and is Physical. If Shell Side Arm is Special based, Shell Side Arm is ranged and is Special."
Shell Side Arm (Special),Poison,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,"On a Chance Dice roll of 9 or higher Poison the Target. Shell Side Arm can use either Strength or Special as both Accuracy and Damage. If Shell Side Arm is Strength based, Shell Side Arm makes contact and is Physical. If Shell Side Arm is Special based, Shell Side Arm is ranged and is Special."
Shell Smash,Normal,SUPPORT,,0,,STRENGTH,BRAWL,User,"Increase the User's Strength, Special, Dexterity by 2. Decrease the User's Defense and Special Defense by 1."
Shell Trap,Fire,SPECIAL,SPECIAL,6,,ENDURANCE,STEALTH,Single Target,"Priority -3. If the User received damage from a Physical move this Turn, Shell Trap can be performed. Shell Trap can not target Allies, and can only target the Foe that hit the User last.  The Target can not Evade or Clash Shel Trap, other Pokemon may still Clash Shell Trap for the Target.
"
Shelter,Normal,SUPPORT,,,,ENDURANCE,ATHLETICS,User,Increase the User's Defense by 2.
Shift Gear,Steel,SUPPORT,,0,,DEXTERITY,CHANNEL,User,Increase the User’s Strength by 1 and Dexterity by 2.
Shock Wave,Electric,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Shock Wave can not be Evaded and ignores the User's Accuracy decreases.
Shore Up,Ground,SUPPORT,,0,,SPIRIT,NATURE,User,"The User restores 3 HP. If Sandstorm is in effect, the User restores 4 HP."
