Number,Species,Type 1,Type 2,Base HP,Base Str,Dot Str,Base Dex,Dot Dex,Base End,Dot End,Base Sp,Dot Sp,Base Spirit,Dot Spirit,ABILITY 1,ABILITY 2,H.ABILITY,Evolves From,Evolution Method,Height,Weight
344,Claydol,Ground,Psychic,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Levitate,,,Baltoy,Ace Rank,1.5,108
345,Lileep,Rock,Grass,6,1,⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Suction Cups,,Storm Drain,,,1,23.8
346,Cradily,Rock,Grass,8,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Suction Cups,,Storm Drain,Lileep,Ace Rank,1.5,60.4
347,Anorith,Rock,Bug,4,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Battle Armor,,Swift Swim,,,0.7,12.5
348,Armaldo,Rock,Bug,7,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Battle Armor,,Swift Swim,Anorith,Ace Rank,1.5,68.2
349,Feebas,Water,,2,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,Swift Swim,Oblivious,Adaptability,,,0.6,7.4
350,Milotic,Water,,9,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Marvel Scale,Competitive,Cute Charm,Feebas,Prism Scale,6.2,162
351,Castform,Normal,,7,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Forecast,,,,,0.3,0.8
352,Kecleon,Normal,,6,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Color Change,,Protean,,,1,22
353,Shuppet,Ghost,,4,3,⬤⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Insomnia,Frisk,Cursed Body,,,0.6,2.3
354,Banette,Ghost,,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Insomnia,Frisk,Cursed Body,Shuppet,Ace Rank,1.1,12.5
354,Mega Banette,Ghost,,6,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Prankster,,,,,1.2,13
355,Duskull,Ghost,,2,1,⬤,1,⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Levitate,,Frisk,,,0.8,15
356,Dusclops,Ghost,,4,2,⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Pressure,,Frisk,Duskull,Ace Rank,1.6,30.6
357,Tropius,Grass,Flying,9,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Chlorophyll,Solar Power,Harvest,,,2,100
358,Chimecho,Psychic,,7,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,,,Chingling,Max Friendship,0.6,1
359,Absol,Dark,,6,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Pressure,Super Luck,Justified,,,1.2,47
359,Mega Absol,Dark,,6,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Magic Bounce,,,,,1.2,49
360,Wynaut,Psychic,,9,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Shadow Tag,,Telepathy,,,0.6,14
361,Snorunt,Ice,,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Inner Focus,Ice Body,Moody,,,0.7,16.8
362,Glalie,Ice,,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Inner Focus,Ice Body,Moody,Snorunt,Pro Rank,1.5,256.5
362,Mega Glalie,Ice,,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Refrigerate,,,,,2.1,350.2
363,Spheal,Ice,Water,7,1,⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Thick Fat,Ice Body,Oblivious,,,0.8,39.5
364,Sealeo,Ice,Water,9,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Thick Fat,Ice Body,Oblivious,Spheal,Ace Rank,1.1,87.6
365,Walrein,Ice,Water,11,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Thick Fat,Ice Body,Oblivious,Sealeo,Pro Rank,1.4,150.6
366,Clamperl,Water,,3,2,⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Shell Armor,,Rattled,,,0.4,52.5
367,Huntail,Water,,5,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Swift Swim,,Water Veil,Clamperl,Deep Sea Tooth,1.7,27
368,Gorebyss,Water,,5,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Swift Swim,,Hydration,Clamperl,Deep Sea Scale,1.8,22.6
369,Relicanth,Water,Rock,10,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Swift Swim,Rock Head,Sturdy,,,1,23.4
370,Luvdisc,Water,,4,1,⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Swift Swim,,Hydration,,,0.6,8.7
371,Bagon,Dragon,,4,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,Rock Head,,Sheer Force,,,0.6,42.1
372,Shelgon,Dragon,,6,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Rock Head,,Overcoat,Bagon,Ace Rank,1.1,110.5
373,Salamence,Dragon,Flying,9,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Intimidate,,Moxie,Shelgon,Pro Rank,1.5,102.6
373,Mega Salamence,Dragon,Flying,4,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Aerilate,,,,,1.8,112.6
374,Beldum,Steel,Psychic,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Clear Body,,Light Metal,,,0.6,95.2
375,Metang,Steel,Psychic,8,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Clear Body,,Light Metal,Beldum,Amateur Rank,1.2,202.5
376,Metagross,Steel,Psychic,8,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Clear Body,,Light Metal,Metang,Pro Rank,1.6,550
376,Mega Metagross,Steel,Psychic,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Tough Claws,,,,,2.5,942.9
377,Regirock,Rock,,8,3,⬤⬤⬤,2,⬤⬤,5,⬤⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Clear Body,,Sturdy,,,1.7,230
378,Regice,Ice,,8,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,5,⬤⬤⬤⬤⬤,Clear Body,,Ice Body,,,1.8,175
379,Registeel,Steel,,8,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Clear Body,,Light Metal,,,1.9,205
380,Latias,Dragon,Psychic,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Levitate,,,,,1.4,40
380,Mega Latias,Dragon,Psychic,8,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,Levitate,,,,,1.8,52
381,Latios,Dragon,Psychic,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Levitate,,,,,2,60
381,Mega Latios,Dragon,Psychic,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,Levitate,,,,,2.3,70
382,Kyogre,Water,,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,Drizzle,,,,,4.5,352
382,Primal Kyogre,Water,,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,5,⬤⬤⬤⬤⬤,4,⬤⬤⬤⬤,Primordial Sea,,,,,9.8,430
383,Groudon,Ground,,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Drought,,,,,3.5,950
383,Primal Groudon,Ground,,10,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Desolate Land,,,,,5,999.7
384,Rayquaza,Dragon,Flying,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Air Lock,,,,,7,206.5
384,Mega Rayquaza,Dragon,Flying,10,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,Delta Stream,,,,,10.8,392
385,Jirachi,Steel,Psychic,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Serene Grace,,,,,0.3,1.1
386,Normal Forme Deoxys,Psychic,,5,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,Pressure,,,,,1.7,60
386,Attack Forme Deoxys,Psychic,,5,5,⬤⬤⬤⬤⬤,4,⬤⬤⬤⬤,1,⬤,5,⬤⬤⬤⬤⬤,1,⬤,Pressure,,,,,1.7,60
386,Defense Forme Deoxys,Psychic,,5,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Pressure,,,,,1.7,60
386,Speed Forme Deoxys,Psychic,,5,3,⬤⬤⬤,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,,,,1.7,60
387,Turtwig,Grass,,5,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Overgrow,,Shell Armor,,,0.4,10.2
388,Grotle,Grass,,7,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Overgrow,,Shell Armor,Turtwig,Amateur Rank,1.1,97
389,Torterra,Grass,Ground,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Overgrow,,Shell Armor,Grotle,Ace Rank,2.2,310
390,Chimchar,Fire,,4,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Blaze,,Iron Fist,,,0.5,6.2
391,Monferno,Fire,Fighting,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Blaze,,Iron Fist,Chimchar,Beginner Rank,0.9,22
392,Infernape,Fire,Fighting,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Blaze,,Iron Fist,Monferno,Ace Rank,1.2,55
393,Piplup,Water,,5,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Torrent,,Defiant,,,0.4,5.2
394,Prinplup,Water,,6,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Torrent,,Defiant,Piplup,Amateur Rank,0.8,23
395,Empoleon,Water,Steel,8,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Torrent,,Defiant,Prinplup,Ace Rank,1.7,84.5
396,Starly,Normal,Flying,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Keen Eye,,Reckless,,,0.3,2
397,Staravia,Normal,Flying,5,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,Intimidate,,Reckless,Starly,Beginner Rank,0.6,15.5
398,Staraptor,Normal,Flying,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Intimidate,,Reckless,Staravia,Ace Rank,1.2,24.9
399,Bidoof,Normal,,5,2,⬤⬤,1,⬤,1,⬤,1,⬤,1,⬤,Simple,Unaware,Moody,,,0.5,20
400,Bibarel,Normal,Water,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Simple,Unaware,Moody,Bidoof,Beginner Rank,1,31.5
401,Kricketot,Bug,,3,1,⬤,1,⬤,1,⬤,1,⬤,1,⬤,Shed Skin,,Run Away,,,0.3,2.2
402,Kricketune,Bug,,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Swarm,,Technician,Kricketot,Beginner Rank,1,25.5
403,Shinx,Electric,,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Rivalry,Intimidate,Guts,,,0.5,9.5
404,Luxio,Electric,,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Rivalry,Intimidate,Guts,Shinx,Beginner Rank,0.9,30.5
405,Luxray,Electric,,8,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Rivalry,Intimidate,Guts,Luxio,Ace Rank,1.4,42
406,Budew,Grass,Poison,4,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Natural Cure,Poison Point,Leaf Guard,,,0.2,1.2
407,Roserade,Grass,Poison,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Natural Cure,Poison Point,Technician,Roselia,Shiny Stone,0.9,14.5
408,Cranidos,Rock,,6,4,⬤⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Mold Breaker,,Sheer Force,,,0.9,31.5
409,Rampardos,Rock,,9,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Mold Breaker,,Sheer Force,Cranidos,Ace Rank,1.6,102.5
410,Shieldon,Rock,Steel,3,1,⬤,1,⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Sturdy,,Soundproof,,,0.5,57
411,Bastiodon,Rock,Steel,6,2,⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Sturdy,,Soundproof,Shieldon,Ace Rank,1.3,149.5
412,Plant Cloak Burmy,Bug,,4,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Shed Skin,,Overcoat,,,0.2,3.4
412,Sandy Cloak Burmy,Bug,,4,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Shed Skin,,Overcoat,,,0.2,3.4
412,Trash Cloak Burmy,Bug,,4,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Shed Skin,,Overcoat,,,0.2,3.4
413,Plant Cloak Wormadam,Bug,Grass,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Anticipation,,Overcoat,Burmy-Trash Cloak (Female Only),Amateur Rank,0.5,6.5
413,Sandy Cloak Wormadam,Bug,Ground,6,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Anticipation,,Overcoat,Wormadam-Plant Cloak (Female Only),Amateur Rank,0.5,6.5
413,Trash Cloak Wormadam,Bug,Steel,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Anticipation,,Overcoat,Wormadam-Sandy Cloak (Female Only),Amateur Rank,0.5,6.5
414,Mothim,Bug,Flying,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Swarm,,Tinted Lens,Burmy (Male Only),Amateur Rank,0.9,23.3
415,Combee,Bug,Flying,3,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Honey Gather,,Hustle,,,0.3,5.5
416,Vespiquen,Bug,Flying,7,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,Unnerve,Combee (Female Only),Amateur Rank,1.2,38.5
417,Pachirisu,Electric,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Run Away,Pickup,Volt Absorb,,,0.4,3.9
418,Buizel,Water,,5,2,⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,Swift Swim,,Water Veil,,,0.7,29.5
419,Floatzel,Water,,8,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Swift Swim,,Water Veil,Buizel,Amateur Rank,1.1,33.5
420,Cherubi,Grass,,4,1,⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Chlorophyll,,,,,0.4,3.3
421,Cherrim,Grass,,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Flower Gift,,,Cherubi,Amateur Rank,0.5,9.3
422,Shellos,Water,,7,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Sticky Hold,Storm Drain,Sand Force,,,0.3,6.3
423,Gastrodon,Water,Ground,11,3,⬤⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Sticky Hold,Storm Drain,Sand Force,Shellos,Ace Rank,0.9,29.9
424,Ambipom,Normal,,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Technician,Pickup,Skill Link,Aipom,Ace Rank,1.2,20.3
425,Drifloon,Ghost,Flying,9,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Aftermath,Unburden,Flare Boost,,,0.4,1.2
426,Drifblim,Ghost,Flying,15,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,Aftermath,Unburden,Flare Boost,Drifloon,Amateur Rank,1.2,15
427,Buneary,Normal,,5,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,2,⬤⬤,Run Away,Klutz,Limber,,,0.4,5.5
428,Lopunny,Normal,,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Cute Charm,Klutz,Limber,Buneary,Max Friendship,1.2,33.3
428,Mega Lopunny,Normal,Fighting,6,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Scrappy,,,,,1.3,28.3
429,Mismagius,Ghost,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,,,Misdreavus,Dusk Stone,0.9,4.4
430,Honchkrow,Dark,Flying,10,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Insomnia,Super Luck,Moxie,Murkrow,Dusk Stone,0.9,27.3
431,Glameow,Normal,,4,2,⬤⬤,3,⬤⬤⬤,1,⬤,1,⬤,1,⬤,Limber,Own Tempo,Keen Eye,,,0.5,3.9
432,Purugly,Normal,,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Thick Fat,Own Tempo,Defiant,Glameow,Ace Rank,1,43.8
433,Chingling,Psychic,,4,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Levitate,,,,,0.2,0.6
434,Stunky,Poison,Dark,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,Stench,Aftermath,Keen Eye,,,0.4,19.2
435,Skuntank,Poison,Dark,10,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Stench,Aftermath,Keen Eye,Stunky,Ace Rank,1,38
436,Bronzor,Steel,Psychic,5,1,⬤,1,⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Levitate,Heatproof,Heavy Metal,,,0.5,60.5
437,Bronzong,Steel,Psychic,6,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,Heatproof,Heavy Metal,Bronzor,Ace Rank,1.3,187
438,Bonsly,Rock,,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Sturdy,Rock Head,Rattled,,,0.5,15
439,Mime Jr.,Psychic,Fairy,2,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Soundproof,Filter,Technician,,,0.6,13
440,Happiny,Normal,,10,1,⬤,1,⬤,1,⬤,1,⬤,2,⬤⬤,Natural Cure,Serene Grace,Friend Guard,,,0.6,24.4
441,Chatot,Normal,Flying,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,1,⬤,Keen Eye,Tangled Feet,Big Pecks,,,0.5,1.9
442,Spiritomb,Ghost,Dark,5,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Pressure,,Infiltrator,,,1,108
443,Gible,Dragon,Ground,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Sand Veil,,Rough Skin,,,0.7,20.5
444,Gabite,Dragon,Ground,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Sand Veil,,Rough Skin,Gible,Amateur Rank,1.4,56
445,Garchomp,Dragon,Ground,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Sand Veil,,Rough Skin,Gabite,Pro Rank,1.9,95
445,Mega Garchomp,Dragon,Ground,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Sand Force,,,,,1.9,95
446,Munchlax,Normal,,13,3,⬤⬤⬤,1,⬤,1,⬤,1,⬤,3,⬤⬤⬤,Pickup,Thick Fat,Gluttony,,,0.6,105
447,Riolu,Fighting,,4,2,⬤⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Steadfast,Inner Focus,Prankster,,,0.7,20.2
448,Lucario,Fighting,Steel,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Steadfast,Inner Focus,Justified,Riolu,Max Friendship,1.2,54
448,Mega Lucario,Fighting,Steel,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,Adaptability,,,,,1.3,57.5
449,Hippopotas,Ground,,6,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Sand Stream,,Sand Force,,,0.8,49.5
450,Hippowdon,Ground,,10,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sand Stream,,Sand Force,Hippopotas,Ace Rank,2,300
451,Skorupi,Poison,Bug,4,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Battle Armor,Sniper,Keen Eye,,,0.8,12
452,Drapion,Poison,Dark,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Battle Armor,Sniper,Keen Eye,Skorupi,Ace Rank,1.3,61.5
453,Croagunk,Poison,Fighting,4,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,Anticipation,Dry Skin,Poison Touch,,,0.7,23
454,Toxicroak,Poison,Fighting,8,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Anticipation,Dry Skin,Poison Touch,Croagunk,Ace Rank,1.3,44.4
455,Carnivine,Grass,,7,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Levitate,,,,,1.4,27
456,Finneon,Water,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Swift Swim,Storm Drain,Water Veil,,,0.4,7
457,Lumineon,Water,,6,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Swift Swim,Storm Drain,Water Veil,Finneon,Ace Rank,1.2,24
458,Mantyke,Water,Flying,4,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Swift Swim,Water Absorb,Water Veil,,,1,65
459,Snover,Ice,Grass,6,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Snow Warning,,Soundproof,,,1,50.5
460,Abomasnow,Ice,Grass,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Snow Warning,,Soundproof,Snover,Ace Rank,2.2,135.5
461,Mega Abomasnow,Ice,Grass,9,4,⬤⬤⬤⬤,1,⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Snow Warning,,,,,2.7,185
461,Weavile,Dark,Ice,7,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Pressure,,Pickpocket,Sneasel,Razor Claw,1.1,34
462,Magnezone,Electric,Steel,7,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Magnet Pull,Sturdy,Analytic,Magneton,Thunder Stone,1.2,180
463,Lickilicky,Normal,,11,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Own Tempo,Oblivious,Cloud Nine,Lickitung,Ace Rank,1.7,140
464,Rhyperior,Ground,Rock,11,4,⬤⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Lightning Rod,Solid Rock,Reckless,Rhydon,Pro Ranktector,2.4,282.8
465,Tangrowth,Grass,,10,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Chlorophyll,Leaf Guard,Regenerator,Tangela,Ace Rank,2,128.6
466,Electivire,Electric,,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Motor Drive,,Vital Spirit,Electabuzz,Electirizer,1.8,138.6
